target_id	length	eff_length	est_counts	tpm
ENSMUST00000103682	51	13.5	0	0
ENSMUST00000103409	42	11.8	0	0
ENSMUST00000103408	38	14.3333	0	0
ENSMUST00000103407	36	12.3333	0	0
ENSMUST00000103406	43	10.8333	0	0
ENSMUST00000103405	38	14.3333	0	0
ENSMUST00000103298	47	12	0	0
ENSMUST00000169595	48	11.6667	0	0
ENSMUST00000103297	49	11.5	0	0
ENSMUST00000103296	49	11.5	0	0
ENSMUST00000103295	49	11.5	0	0
ENSMUST00000103294	51	13.5	0	0
ENSMUST00000103293	50	12.5	0	0
ENSMUST00000103290	45	10	0	0
ENSMUST00000103289	53	14.2727	0	0
ENSMUST00000103288	50	12.5	0	0
ENSMUST00000103287	51	13.5	0	0
ENSMUST00000103286	54	11.4667	0	0
ENSMUST00000103285	48	11.6667	0	0
ENSMUST00000103284	48	11.6667	0	0
ENSMUST00000184430	61	11.1071	0	0
ENSMUST00000103562	60	12.3043	0	0
ENSMUST00000179426	60	12.3043	0	0
ENSMUST00000180262	60	12.3043	0	0
ENSMUST00000103426	1367	1155.82	4	0.0631439
ENSMUST00000177715	1424	1212.82	0	0
ENSMUST00000103423	992	780.822	0	0
ENSMUST00000103420	974	762.822	3	0.0717564
ENSMUST00000103418	1010	798.822	0	0
ENSMUST00000178282	1034	822.822	0	0
ENSMUST00000103291	512	302.693	4	0.241113
ENSMUST00000103299	521	311.535	0	0
ENSMUST00000041012	600	389.517	2	0.0936841
ENSMUST00000103740	413	208.378	0	0
ENSMUST00000103410	323	131.926	0	0
ENSMUST00000103558	518	308.555	50	2.95665
ENSMUST00000103561	503	293.828	2	0.124194
ENSMUST00000103566	644	433.284	0	0
ENSMUST00000179181	572	361.635	0	0
ENSMUST00000103480	294	110.49	0	0
ENSMUST00000103469	400	196.674	2	0.185543
ENSMUST00000103552	351	154.313	0	0
ENSMUST00000103551	351	154.313	0	0
ENSMUST00000103549	294	110.49	0	0
ENSMUST00000103548	351	154.313	0	0
ENSMUST00000103547	351	154.313	0	0
ENSMUST00000163670	294	110.49	0	0
ENSMUST00000170551	294	110.49	0.5	0.0825672
ENSMUST00000169155	294	110.49	0.5	0.0825672
ENSMUST00000103544	351	154.313	0	0
ENSMUST00000164041	120	20.8168	0	0
ENSMUST00000103543	348	151.798	0	0
ENSMUST00000183936	344	148.671	0	0
ENSMUST00000103542	303	117.027	0	0
ENSMUST00000103541	351	154.313	0	0
ENSMUST00000166645	302	116.262	0	0
ENSMUST00000103540	315	126.045	0	0
ENSMUST00000103539	348	151.798	0	0
ENSMUST00000103538	294	110.49	0	0
ENSMUST00000103537	351	154.313	0	0
ENSMUST00000103536	336	142.316	0	0
ENSMUST00000103535	351	154.313	0	0
ENSMUST00000103534	351	154.313	1	0.118239
ENSMUST00000103533	301	115.53	0	0
ENSMUST00000103532	351	154.313	0	0
ENSMUST00000163467	302	116.262	0	0
ENSMUST00000171270	90	12.254	0	0
ENSMUST00000103531	351	154.313	0	0
ENSMUST00000103530	348	151.798	0	0
ENSMUST00000103529	351	154.313	3	0.354716
ENSMUST00000103528	336	142.316	0.5	0.0641033
ENSMUST00000103527	294	110.49	0	0
ENSMUST00000103526	351	154.313	0	0
ENSMUST00000103525	351	154.313	0	0
ENSMUST00000103524	301	115.53	0	0
ENSMUST00000103523	351	154.313	0	0
ENSMUST00000103522	348	151.798	0	0
ENSMUST00000103521	351	154.313	0	0
ENSMUST00000103520	336	142.316	0.5	0.0641033
ENSMUST00000103519	294	110.49	0.5	0.0825672
ENSMUST00000178949	294	110.49	0	0
ENSMUST00000103518	294	110.49	9	1.48621
ENSMUST00000103517	294	110.49	0	0
ENSMUST00000103516	294	110.49	0	0
ENSMUST00000103515	351	154.313	0	0
ENSMUST00000103514	348	151.798	2	0.240395
ENSMUST00000103513	348	151.798	0	0
ENSMUST00000103512	351	154.313	0	0
ENSMUST00000103511	294	110.49	0	0
ENSMUST00000103503	292	109.06	0	0
ENSMUST00000103510	351	154.313	0	0
ENSMUST00000103509	294	110.49	0	0
ENSMUST00000103508	339	144.723	0	0
ENSMUST00000103507	351	154.313	0	0
ENSMUST00000103506	348	151.798	2	0.240395
ENSMUST00000103505	348	151.798	1	0.120198
ENSMUST00000103504	306	119.246	0	0
ENSMUST00000103502	339	144.723	0	0
ENSMUST00000103501	294	110.49	0.5	0.0825672
ENSMUST00000095364	294	110.49	0	0
ENSMUST00000103500	294	110.49	0	0
ENSMUST00000103498	348	151.798	0	0
ENSMUST00000103497	351	154.313	0	0
ENSMUST00000103496	351	154.313	0	0
ENSMUST00000103495	359	160.963	0	0
ENSMUST00000103494	294	110.49	0	0
ENSMUST00000103493	351	154.313	0	0
ENSMUST00000103492	359	160.963	0	0
ENSMUST00000109711	123	21.8209	0	0
ENSMUST00000103489	357	159.335	0	0
ENSMUST00000103486	356	158.52	0	0
ENSMUST00000103485	348	151.798	0	0
ENSMUST00000103483	347	151.028	0	0
ENSMUST00000103482	294	110.49	1	0.165134
ENSMUST00000103481	342	147.041	1	0.124086
ENSMUST00000103479	299	113.994	0	0
ENSMUST00000103477	360	161.875	0	0
ENSMUST00000103476	296	111.992	0	0
ENSMUST00000103475	333	139.832	0	0
ENSMUST00000103461	357	159.335	0	0
ENSMUST00000103473	351	154.313	5	0.591194
ENSMUST00000103472	351	154.313	0	0
ENSMUST00000103471	294	110.49	0	0
ENSMUST00000103470	299	113.994	0	0
ENSMUST00000103468	353	155.929	0	0
ENSMUST00000103467	351	154.313	1	0.118239
ENSMUST00000103466	353	155.929	0	0
ENSMUST00000103478	350	153.482	0	0
ENSMUST00000103464	350	153.482	0	0
ENSMUST00000103463	351	154.313	0	0
ENSMUST00000103462	354	156.79	0	0
ENSMUST00000103474	361	162.665	0	0
ENSMUST00000103451	350	153.482	0	0
ENSMUST00000103459	351	154.313	0	0
ENSMUST00000103458	350	153.482	0	0
ENSMUST00000103457	350	153.482	0	0
ENSMUST00000103456	350	153.482	0	0
ENSMUST00000103455	342	147.041	0	0
ENSMUST00000180013	350	153.482	0	0
ENSMUST00000103452	350	153.482	0	0
ENSMUST00000179657	350	153.482	0	0
ENSMUST00000103450	353	155.929	0	0
ENSMUST00000103449	347	151.028	0	0
ENSMUST00000103448	353	155.929	0	0
ENSMUST00000166255	278	99.3487	0	0
ENSMUST00000103447	350	153.482	0	0
ENSMUST00000103446	353	155.929	0	0
ENSMUST00000178229	350	153.482	0	0
ENSMUST00000103444	353	155.929	0	0
ENSMUST00000103443	350	153.482	0	0
ENSMUST00000103442	350	153.482	0	0
ENSMUST00000170946	353	155.929	0	0
ENSMUST00000103262	350	153.482	0	0
ENSMUST00000103263	344	148.671	4	0.490902
ENSMUST00000103264	347	151.028	10	1.2081
ENSMUST00000103265	339	144.723	0	0
ENSMUST00000103266	341	146.276	0	0
ENSMUST00000168322	289	106.923	0	0
ENSMUST00000103267	372	171.968	0	0
ENSMUST00000103268	334	140.683	0	0
ENSMUST00000103269	372	171.968	0	0
ENSMUST00000103270	319	128.956	0	0
ENSMUST00000103271	340	145.469	0	0
ENSMUST00000103272	339	144.723	0	0
ENSMUST00000103273	347	151.028	0	0
ENSMUST00000103274	342	147.041	0	0
ENSMUST00000103275	339	144.723	0	0
ENSMUST00000103276	352	155.122	0	0
ENSMUST00000103277	335	141.515	0	0
ENSMUST00000103278	290	107.642	0	0
ENSMUST00000103279	344	148.671	0	0
ENSMUST00000103280	344	148.671	0	0
ENSMUST00000103281	344	148.671	0	0
ENSMUST00000103282	332	139.008	0	0
ENSMUST00000103300	334	140.683	0	0
ENSMUST00000167638	352	155.122	0	0
ENSMUST00000103301	359	160.963	0	0
ENSMUST00000103568	325	133.339	0	0
ENSMUST00000103569	343	147.867	0	0
ENSMUST00000103570	343	147.867	0	0
ENSMUST00000103571	338	143.894	1	0.1268
ENSMUST00000103573	338	143.894	0	0
ENSMUST00000178824	337	143.145	0	0
ENSMUST00000103592	331	138.233	0	0
ENSMUST00000103593	341	146.276	0	0
ENSMUST00000178252	340	145.469	0	0
ENSMUST00000164511	270	94.0445	0	0
ENSMUST00000177703	342	147.041	0	0
ENSMUST00000103596	264	90.1443	0	0
ENSMUST00000103597	276	98.0112	0	0
ENSMUST00000103598	348	151.798	0	0
ENSMUST00000103599	276	98.0112	0	0
ENSMUST00000167409	307	119.981	0	0
ENSMUST00000103600	331	138.233	0	0
ENSMUST00000179701	343	147.867	0.0313096	0.00386339
ENSMUST00000178650	317	127.53	0	0
ENSMUST00000103605	334	140.683	2	0.259388
ENSMUST00000103606	353	155.929	11	1.28714
ENSMUST00000103607	264	90.1443	0	0
ENSMUST00000103608	328	135.708	0	0
ENSMUST00000103609	341	146.276	1	0.124735
ENSMUST00000103611	338	143.894	0	0
ENSMUST00000103612	343	147.867	0	0
ENSMUST00000103613	287	105.605	0	0
ENSMUST00000103587	344	148.671	0	0
ENSMUST00000177578	340	145.469	1	0.125427
ENSMUST00000103590	349	152.672	0	0
ENSMUST00000180097	337	143.145	0	0
ENSMUST00000103618	331	138.233	0	0
ENSMUST00000103619	341	146.276	0	0
ENSMUST00000177705	340	145.469	0	0
ENSMUST00000170041	270	94.0445	0	0
ENSMUST00000179583	342	147.041	0	0
ENSMUST00000103622	264	90.1443	0	0
ENSMUST00000103623	276	98.0112	0	0
ENSMUST00000103624	348	151.798	0	0
ENSMUST00000103625	276	98.0112	0	0
ENSMUST00000103626	340	145.469	0	0
ENSMUST00000103627	331	138.233	0	0
ENSMUST00000179997	343	147.867	0.0313096	0.00386339
ENSMUST00000179607	317	127.53	0	0
ENSMUST00000103632	333	139.832	0	0
ENSMUST00000103633	353	155.929	0	0
ENSMUST00000103634	267	92.1114	0	0
ENSMUST00000103635	280	100.65	1	0.181279
ENSMUST00000103583	343	147.867	0	0
ENSMUST00000103584	344	148.671	1	0.122725
ENSMUST00000103585	343	147.867	0	0
ENSMUST00000103650	344	148.671	2	0.245451
ENSMUST00000103651	327	134.919	1	0.135235
ENSMUST00000103652	360	161.875	0	0
ENSMUST00000103653	349	152.672	4	0.478038
ENSMUST00000103654	340	145.469	0	0
ENSMUST00000103655	331	138.233	3	0.395978
ENSMUST00000103302	362	163.521	0	0
ENSMUST00000103303	362	163.521	0	0
ENSMUST00000168310	346	150.236	0	0
ENSMUST00000103304	362	163.521	0	0
ENSMUST00000103305	362	163.521	0	0
ENSMUST00000103306	362	163.521	0	0
ENSMUST00000103307	350	153.482	0	0
ENSMUST00000103308	350	153.482	0	0
ENSMUST00000103309	341	146.276	0	0
ENSMUST00000103310	353	155.929	6	0.702079
ENSMUST00000103311	350	153.482	2	0.237757
ENSMUST00000103312	287	105.605	0	0
ENSMUST00000103313	353	155.929	0	0
ENSMUST00000103314	359	160.963	0	0
ENSMUST00000103315	350	153.482	0	0
ENSMUST00000103316	353	155.929	0	0
ENSMUST00000103317	359	160.963	1	0.113354
ENSMUST00000103318	364	165.119	0	0
ENSMUST00000103319	358	160.139	0	0
ENSMUST00000103320	353	155.929	0	0
ENSMUST00000103321	359	160.963	0	0
ENSMUST00000103322	364	165.119	0	0
ENSMUST00000103323	348	151.798	0	0
ENSMUST00000103324	347	151.028	0	0
ENSMUST00000103325	350	153.482	1	0.118879
ENSMUST00000103326	359	160.963	0	0
ENSMUST00000103327	344	148.671	0	0
ENSMUST00000103328	347	151.028	0	0
ENSMUST00000166362	123	21.8209	0	0
ENSMUST00000103329	287	105.605	0	0
ENSMUST00000103330	347	151.028	0	0
ENSMUST00000103332	351	154.313	0	0
ENSMUST00000103333	345	149.475	6	0.732394
ENSMUST00000103334	326	134.139	338	45.9752
ENSMUST00000103335	335	141.515	103	13.28
ENSMUST00000103336	362	163.521	1	0.111581
ENSMUST00000103337	340	145.469	0	0
ENSMUST00000103339	347	151.028	0	0
ENSMUST00000103340	290	107.642	0	0
ENSMUST00000103341	346	150.236	0	0
ENSMUST00000103342	352	155.122	2	0.235245
ENSMUST00000103343	356	158.52	0	0
ENSMUST00000103344	358	160.139	0	0
ENSMUST00000103345	356	158.52	0	0
ENSMUST00000103346	352	155.122	0	0
ENSMUST00000103348	348	151.798	0	0
ENSMUST00000103350	352	155.122	0	0
ENSMUST00000103351	286	104.924	0	0
ENSMUST00000103353	284	103.476	0	0
ENSMUST00000103354	352	155.122	0	0
ENSMUST00000103355	292	109.06	0	0
ENSMUST00000103356	358	160.139	0	0
ENSMUST00000103357	350	153.482	0	0
ENSMUST00000103358	286	104.924	0	0
ENSMUST00000103677	345	149.475	0	0
ENSMUST00000103359	352	155.122	0	0
ENSMUST00000103678	345	149.475	0	0
ENSMUST00000166380	292	109.06	0	0
ENSMUST00000103679	345	149.475	0	0
ENSMUST00000103363	352	155.122	3	0.352867
ENSMUST00000103685	345	149.475	0	0
ENSMUST00000103364	347	151.028	0	0
ENSMUST00000114212	330	137.399	0	0
ENSMUST00000103365	347	151.028	0	0
ENSMUST00000103366	347	151.028	0	0
ENSMUST00000103367	347	151.028	0	0
ENSMUST00000103368	347	151.028	0	0
ENSMUST00000103369	347	151.028	0	0
ENSMUST00000103370	287	105.605	0	0
ENSMUST00000103371	344	148.671	0	0
ENSMUST00000103372	347	151.028	0	0
ENSMUST00000103373	344	148.671	0	0
ENSMUST00000103374	359	160.963	0	0
ENSMUST00000103376	362	163.521	0	0
ENSMUST00000103377	347	151.028	79	9.54403
ENSMUST00000103378	365	165.996	0	0
ENSMUST00000103379	344	148.671	0	0
ENSMUST00000103380	305	118.563	3	0.461672
ENSMUST00000103381	300	114.694	0	0
ENSMUST00000103382	371	171.072	0	0
ENSMUST00000103383	347	151.028	0	0
ENSMUST00000103384	365	165.996	0	0
ENSMUST00000103386	347	151.028	0	0
ENSMUST00000103387	362	163.521	0	0
ENSMUST00000103388	347	151.028	1	0.12081
ENSMUST00000103389	305	118.563	0	0
ENSMUST00000103390	370	170.245	0	0
ENSMUST00000103391	347	151.028	0	0
ENSMUST00000103392	362	163.521	0	0
ENSMUST00000103393	347	151.028	0	0
ENSMUST00000103394	347	151.028	0	0
ENSMUST00000103395	287	105.605	0	0
ENSMUST00000103396	359	160.963	0	0
ENSMUST00000103397	356	158.52	0	0
ENSMUST00000103398	359	160.963	0	0
ENSMUST00000103399	299	113.994	0	0
ENSMUST00000103400	359	160.963	0	0
ENSMUST00000103401	359	160.963	0	0
ENSMUST00000103402	359	160.963	0	0
ENSMUST00000103403	359	160.963	0	0
ENSMUST00000103404	359	160.963	0	0
ENSMUST00000103746	351	154.313	5	0.591194
ENSMUST00000103751	366	166.838	135	14.7639
ENSMUST00000103752	348	151.798	2	0.240395
ENSMUST00000103553	350	153.482	0	0
ENSMUST00000103554	414	209.268	0	0
ENSMUST00000103555	403	199.36	0	0
ENSMUST00000103556	293	109.793	0	0
ENSMUST00000103559	350	153.482	0	0
ENSMUST00000103563	350	153.482	0	0
ENSMUST00000103564	347	151.028	0	0
ENSMUST00000098739	924	712.87	0.145397	0.00372141
ENSMUST00000108783	3318	3106.82	9.51746	0.0558943
